league,club
Premier League,Arsenal
Premier League,Bournemouth
Premier League,Brighton
Premier League,Burnley
Premier League,Cardiff City
Premier League,Chelsea
Premier League,Crystal Palace
Premier League,Everton
Premier League,Fulham
Premier League,Huddersfield Town
Premier League,Leicester City
Premier League,Liverpool
Premier League,Manchester City
Premier League,Manchester United
Premier League,Newcastle United
Premier League,Southampton
Premier League,Tottenham Hotspur
Premier League,Watford
Premier League,West Ham United
Premier League,Wolverhampton
Championship,Aston Villa
Championship,Birmingham City
Championship,Blackburn Rovers
Championship,Bolton Wanderers
Championship,Brentford
Championship,Bristol City
Championship,Derby County
Championship,Hull City
Championship,Ipswich Town
Championship,Leeds United
Championship,Middlesbrough
Championship,Millwall
Championship,Norwich City
Championship,Nottingham Forest
Championship,Preston North End
Championship,Queens Park Rangers
Championship,Reading
Championship,Rotherham United
Championship,Sheffield United
Championship,Sheffield Wednesday
Championship,Stoke City
Championship,Swansea City
Championship,West Bromwich Albion
Championship,Wigan Athletic
League One,Accrington Stanley
League One,AFC Wimbledon
League One,Barnsley
League One,Blackpool
League One,Bradford City
League One,Bristol Rovers
League One,Burton Albion
League One,Charlton Athletic
League One,Coventry City
League One,Doncaster
League One,Fleetwood Town
League One,Gillingham
League One,Luton Town
League One,Oxford United
League One,Peterborough United
League One,Plymouth Argyle
League One,Portsmouth
League One,Rochdale
League One,Scunthorpe United
League One,Shrewsbury Town
League One,Southend United
League One,Sunderland
League One,Walsall
League One,Wycombe Wanderers
League Two,Bury
League Two,Cambridge United
League Two,Carlisle United
League Two,Cheltenham Town
League Two,Colchester United
League Two,Crawley Town
League Two,Crewe Alexandra
League Two,Exeter City
League Two,Forest Green Rovers
League Two,Grimsby Town
League Two,Lincoln City
League Two,Macclesfield Town
League Two,Mansfield
League Two,Milton Keynes Dons
League Two,Morecambe
League Two,Newport County
League Two,Northampton Town
League Two,Notts County
League Two,Oldham Athletic
League Two,Port Vale
League Two,Stevenage
League Two,Swindon Town
League Two,Tranmere Rovers
League Two,Yeovil Town
Scottish Football,Aberdeen
Scottish Football,Celtic
Scottish Football,Dundee
Scottish Football,Dundee United
Scottish Football,Dunfermline Athletic
Scottish Football,Falkirk
Scottish Football,Hamilton Academical
Scottish Football,Heart of Midlothian
Scottish Football,Hibernian
Scottish Football,Kilmarnock
Scottish Football,Livingston
Scottish Football,Motherwell
Scottish Football,Rangers
Scottish Football,St Johnstone
Scottish Football,St Mirren
La Liga,Athletic Bilbao
La Liga,Atletico Madrid
La Liga,Barcelona
La Liga,CD Leganes
La Liga,Celta Vigo
La Liga,Deportivo Alaves
La Liga,Eibar
La Liga,Espanyol
La Liga,Getafe
La Liga,Girona
La Liga,Levante
La Liga,Rayo Vallecano
La Liga,Real Betis
La Liga,Real Madrid
La Liga,Real Sociedad
La Liga,Real Valladolid
La Liga,SD Huesca
La Liga,Sevilla
La Liga,Valencia
La Liga,Villarreal
Serie A,AC Milan
Serie A,Atalanta
Serie A,Bologna
Serie A,Cagliari
Serie A,Chievo
Serie A,Empoli
Serie A,Fiorentina
